model_id,num_shards,total_proof_generation_time
testing,1,18.443902125000022
testing,12,118.33707924895862
testing,2,21.016103083005873
testing,3,28.12507112401363
testing,4,33.96171799900185
testing,6,53.940318084001774
mlp,1,13.820112104003783
mlp,12,50.176525036979
mlp,2,27.676148216996808
mlp,3,17.423347103991546
mlp,4,21.343672491027974
mlp,6,24.078693504969124
cnn,1,983.9266378039902
cnn,12,404.6206135839893
cnn,2,519.1819237010059
cnn,3,503.7069299080031
cnn,4,527.4154585969954
cnn,6,512.3935722710157
mlp2,1,13461.900324720991
mlp2,12,2579.99995469398
mlp2,2,11665.083565209
mlp2,3,13618.231635807024
mlp2,4,12509.689179369976
mlp2,6,13058.221453667007
