model_id,num_shards,total_setup_time
testing,1,34.794784957994125
testing,12,55.52414508498623
testing,2,44.14299758299603
testing,3,46.79947525098395
testing,4,38.52211479001562
testing,6,59.28292512500775
mlp,1,17.850084175996017
mlp,12,50.58144353394164
mlp,2,30.472164131992034
mlp,3,44.29747918801149
mlp,4,37.581618978932966
mlp,6,37.58811747300206
cnn,1,1326.7553690740024
cnn,12,1687.5302679809683
cnn,2,2696.485172425004
cnn,3,3324.309123102983
cnn,4,3210.6031312559935
cnn,6,3059.1954582200124
mlp2,1,14785.748611510004
mlp2,12,13760.354761440976
mlp2,2,12558.126124594986
mlp2,3,13911.324700092984
mlp2,4,16039.055382467981
mlp2,6,14241.14941337402
