model_id,num_shards,total_witness_generation_time
testing,1,0.1214485000091372
testing,12,0.2789054170134471
testing,2,0.1355187920125899
testing,3,0.1506909159943459
testing,4,0.1685766250157029
testing,6,0.1832196239993207
mlp,1,0.1370649599703028
mlp,12,0.7031372519559221
mlp,2,0.3358431919477879
mlp,3,0.2853325490723363
mlp,4,0.3093283239286392
mlp,6,0.4502413080190305
cnn,1,4.484457063997979
cnn,12,6.240377157941111
cnn,2,4.945283162000123
cnn,3,6.683990653982619
cnn,4,4.708190377990832
cnn,6,4.686011915997369
mlp2,1,5.305776937995688
mlp2,12,5.949629811919294
mlp2,2,5.384364958008518
mlp2,3,5.552013105014339
mlp2,4,5.527508795988979
mlp2,6,6.007759495987557
