setup_id,witness_id,shard_id,model_id,proof_generation_time,proof_size
mlp-1,66fb872415844c7dab3204df490a1295_0,0,mlp,13.820112104003783,25777
mlp-2,151ad9d827044c7da5981739c247177e_0,0,mlp,17.081869721994735,27212
mlp-2,cacefa2bf7694ed3957dc19ec43e8aff_0,1,mlp,10.594278495002072,23601
mlp-3,c78b01e5a13e49ab8fbade43ff0b1012_0,0,mlp,6.525740612007212,27262
mlp-3,ae3ef1600af44a66b2377b20a4258462_0,1,mlp,8.554736770980526,27906
mlp-3,129cdde2cd804bc69fea37623b84878d_0,2,mlp,2.342869721003808,23560
mlp-4,37fecf317f0747ebaec9f24b9581c65b_0,0,mlp,9.341188788006548,27108
mlp-4,7f0aebb323574d6f89eade0624cba59c_0,1,mlp,3.877742847020272,24837
mlp-4,1a0b8cf5d56e4ccca0796e96759176ce_0,2,mlp,2.42097965098219,24906
mlp-4,ecb1b1e4fbb7470a8fe91a20565c832a_0,3,mlp,5.703761205018964,23509
mlp-6,ad34b881b77a4f1fa48d9b85e247cef7_0,0,mlp,3.2238232999807224,21059
mlp-6,c5cc22a6159a4e03a14e2429ed2dfb39_0,1,mlp,5.923802984994836,21973
mlp-6,f4ea22afbaa546989a1a4d6f85091299_0,2,mlp,2.571328543999698,21995
mlp-6,bbdb44cf9e7b4c7cb3188893fd460935_0,3,mlp,2.548223472025711,22008
mlp-6,f31120f93b2f4d0fb77286838ffbe4e9_0,4,mlp,5.901082727999892,21996
mlp-6,0e6fa289c2184955a85f12d1752dcb1d_0,5,mlp,3.910432475968264,20416
mlp-12,a1bcb2d10f354981989475e820c83247_0,0,mlp,0.970475508016534,19452
mlp-12,f6a30c8602b94d08996b797703fd6259_0,1,mlp,4.585241928987671,21106
mlp-12,68da0649fae3498f915fae2ecb546ec4_0,2,mlp,6.522434454993345,17188
mlp-12,071cffeb2265412b8e11b54377a9b520_0,3,mlp,3.6410221899859607,18687
mlp-12,7f9f5ba5dc084e998df799421bda6bd5_0,4,mlp,5.098943126038648,17145
mlp-12,342ba395cf2f47a38028278bd29c87e6_0,5,mlp,2.468182690034155,18647
mlp-12,ab0d2a635cd947eca14bf5ae9fd57bd8_0,6,mlp,5.101321852998808,17115
mlp-12,4e55740c21124e498cdec5093186e9df_0,7,mlp,6.529433975985739,18704
mlp-12,38a2fb7eb1374de5b8246f182497d749_0,8,mlp,4.07881954300683,17125
mlp-12,19b70816d99b443eb9d0838b1ad43508_0,9,mlp,3.4241841359762475,18622
mlp-12,dfb033e5038243b39a16fe9a0ab030f3_0,10,mlp,3.828895233978983,17245
mlp-12,38d9a98749de4c39925899a3b3572d63_0,11,mlp,3.92757039697608,17207
mlp2-1,9d44c71580bb406bb2101ddc4c4e6cc9_0,0,mlp2,13461.900324720991,145378
mlp2-2,40ec4bea95cb452191bfe43c55c6a523_0,0,mlp2,11623.888723787995,157576
mlp2-2,7957356758f54778a5edca7a87b48213_0,1,mlp2,41.19484142100555,37285
mlp2-3,3f6dfad2eb22462e8be6dccc75441c3f_0,0,mlp2,12547.67316383301,180622
mlp2-3,cafe3f77494944d78bfd6a0744436baf_0,1,mlp2,1050.7828915260034,65138
mlp2-3,73ad86b51482450c889fa09f5755d2ef_0,2,mlp2,19.77558044801117,29754
mlp2-4,12032decf8994a8f82882d5a16eb7f41_0,0,mlp2,7770.711277240014,218770
mlp2-4,7a842a67bb9d42339089c64170cc4764_0,1,mlp2,4690.008034523984,113624
mlp2-4,5c49461c9d45494b8be82c7eadc7d696_0,2,mlp2,42.39963041999727,44595
mlp2-4,a08fa730a6954ccea41c2f58b2b2c776_0,3,mlp2,6.570237185980659,29450
mlp2-6,00718d5ff2f04bbabfd75fe539357dae_0,0,mlp2,6635.072406813997,214978
mlp2-6,53fa4f529b774ee98abca628505a3bb1_0,1,mlp2,4813.5248221090005,135097
mlp2-6,a11b453eede442bc9f8b8c7d9e095b83_0,2,mlp2,1554.3097393819771,73141
mlp2-6,541226dc68924cc8a03a0eea195285af_0,3,mlp2,27.832977103011217,38925
mlp2-6,c954fb08d21343839214fddf98a6d5b5_0,4,mlp2,24.95644451401313,28078
mlp2-6,367e82a293f94a4e9b9bfe327cf33ed6_0,5,mlp2,2.525063745008083,20448
mlp2-12,59e0c5eaee2e4b15a445a96f39ead7f4_0,0,mlp2,1.8066749539866576,252603
mlp2-12,0912a43020b54a11b4797d9fa7c759b8_0,1,mlp2,1667.7310183689988,214960
mlp2-12,a410978aef7d4b56894c2927ce04bec0_0,2,mlp2,3.2848056109796744,165538
mlp2-12,658873b74f504996891b65076c34fc01_0,3,mlp2,686.6898202149896,131737
mlp2-12,6d689c894cff49eab9029c366da615fd_0,4,mlp2,2.718945001019165,89935
mlp2-12,316f027bad244144970730ecb9e5cb0f_0,5,mlp2,174.69952751201345,69775
mlp2-12,3c651b8e4f374dd4b91c87dc577d1728_0,6,mlp2,1.1990219659928698,42494
mlp2-12,a30ac0c7cbc94677b72ce85ba79be19c_0,7,mlp2,29.30876036401605,38889
mlp2-12,b285262df8204cdcbe6061d6a2d3b12f_0,8,mlp2,2.3332877149805427,29060
mlp2-12,a2041340ccf64720b6c06a71a89d7e58_0,9,mlp2,5.783331760991132,24525
mlp2-12,0db262636a8343b586169a94f277465c_0,10,mlp2,2.079434052022407,17300
mlp2-12,2322be38cd70416d9d4ded2524db15a5_0,11,mlp2,2.365327173989499,17259
cnn-1,de6835f35718462fa24aaf2f3c6d5228_0,0,cnn,983.9266378039902,391726
cnn-2,c26974e23a644e31896292a00511e3b3_0,0,cnn,226.97810069299885,612299
cnn-2,0c4e6885d00745afbce8a421c7b39e02_0,1,cnn,292.203823008007,240505
cnn-3,5a185e61a4f34b2b8bba5c64e53c0e8f_0,0,cnn,242.04486000900212,1292993
cnn-3,ffbe23fe34164e2ebe5118a4ac8f403e_0,1,cnn,243.03942582799937,952865
cnn-3,4fae64e4178e484ba7220399a2e0d8e8_0,2,cnn,18.62264407100156,45334
cnn-4,c4844235ded44901a215d6e3706c43d8_0,0,cnn,100.18984189099864,838024
cnn-4,012ac803433749139f1b021dac023d61_0,1,cnn,168.2777230679931,693706
cnn-4,8e4529c291f74a46a94e613eaf02e10f_0,2,cnn,226.33367328099848,260439
cnn-4,e3b1a568af294b1291005546271b32d2_0,3,cnn,32.61422035700525,44211
cnn-6,654e5a58a2064f8494f3ad7f4b82f0e9_0,0,cnn,75.47349634600687,2107121
cnn-6,67f4f041a7be495b8b221e8cd891b373_0,1,cnn,232.801112369998,2678431
cnn-6,4c669400ba1e43899cdeab6d378a2c5e_0,2,cnn,12.188547673998984,1139893
cnn-6,91ea93521f9f497da9b59772ddc4b8dd_0,3,cnn,159.52663611200114,262447
cnn-6,300915383074495c926ebd7a753a15e1_0,4,cnn,28.79090059400187,46640
cnn-6,3f0ec57aa5714d5ab03fd4aeeaaf9e30_0,5,cnn,3.6128791750088567,23881
cnn-12,f8662ad72927411e82bfc9d3619430a4_0,0,cnn,100.95998634600257,2233559
cnn-12,90298a7177b947e6951c6dc087825eac_0,1,cnn,20.485685216001,3503423
cnn-12,23eab8b435164616a1305406df19f4cb_0,2,cnn,35.32296633499209,2183672
cnn-12,ab214dd71416405c8a28bac4cbdf4b0b_0,3,cnn,51.52871601299557,1390290
cnn-12,412c729098ad4f46979ac5ff2a5062b5_0,4,cnn,2.976105438996456,1773111
cnn-12,467b56e25f624f45b462af3a51462d8a_0,5,cnn,21.870834639004897,1120037
cnn-12,020ac6a8493644cd9c865eb02677885e_0,6,cnn,3.74833798299369,457919
cnn-12,5967ae1377494464a67b6c2c9bebe25e_0,7,cnn,123.87884982700052,262457
cnn-12,e614c6a5d28c4b55952d9be4e3bf0a4f_0,8,cnn,6.575492108997423,58804
cnn-12,bddaabbef9784ae8bc5ea9721b60eaa4_0,9,cnn,30.72727472000406,42429
cnn-12,8ea43776a8214ae3af186453499e8b7c_0,10,cnn,2.3535356299980776,23198
cnn-12,94abcec0c9ad4ab09d3dfbab257a7df9_0,11,cnn,4.192829327002983,20661
